ID,תאריך הגשת הבקשה,מס' סימוכין,חברה,סוג  היתר,מספר האתר,ישוב,כתובת + תאור,סוג המוקד,X_ITM,Y_ITM,תחום שיפוט
1,14/11/2022,2063797,PHI (משרת את הוט ופרטנר),היתר הקמה,WE5988A,בן שמן,מערב בן שמן,קרקעי,192241,650702,חבל מודיעין
2,15/11/2022,2063823,PHI (משרת את הוט ופרטנר),היתר הקמה,WE6529D,תל אביב-יפו,תל אביב קרמניצקי,גג,180861,663820,תל אביב יפו
3,15/11/2022,2063508,PHI (משרת את הוט ופרטנר),היתר הקמה,NC4529D,דליה,סילו,קרקעי,207562,721797,דליה
4,15/11/2022,2063627,PHI (משרת את הוט ופרטנר),היתר הקמה,EA2039F,בית''ר עילית,נעם אלימלך פינת חפץ חיים,קרקעי,211173,622420,ביתר עילית
5,20/11/2022,2063888,פלאפון,היתר הקמה,830444,קרית גת,תחנת קמח רחוב כסלו.,משתפלות,179106,612508,קרית גת
6,21/11/2022,2063646,PHI (משרת את הוט ופרטנר),היתר הקמה,NC4489C,קרית אתא,מרכז שביט קרית אתא,גג,211117,746458,קרית אתא
7,21/11/2022,2063824,PHI (משרת את הוט ופרטנר),היתר הקמה,WI6338B,תל אביב-יפו,הקו האדום של הרכבת הקלה תל אביב- תחנות אליפלט אלנביהרצל,פנימי,180250,664205,תל אביב יפו
8,27/11/2022,2063978,PHI (משרת את הוט ופרטנר),היתר הקמה,WI6339C,תל אביב-יפו,הקו האדום של הרכבת הקלה תל אביב- תחנות יהודית קרליבך,פנימי,180250,664205,תל אביב יפו
9,27/11/2022,2063980,PHI (משרת את הוט ופרטנר),היתר הקמה,NN4474E,לוטם,לוטם לולים,קרקעי,233201,753834,משגב
10,30/11/2022,2064135,סלקום,היתר הקמה,22842,יהוד,עמוד תאורה בצומת יהוד,תורן קרקעי,188920,659382,יהוד מונוסון
11,12/1/2022,2064166,סלקום,היתר הקמה,22843,דרום השרון,עמוד תאורה בצומת סביון ליד תחנת דלק פז,תורן קרקעי,187582,660063,דרום השרון
12,12/11/2022,2064277,פלאפון,היתר הקמה,925032,באקה אל גרבייה,באקה מבנה קופת חולים כללית,עוקצים,204055,703061,באקה ג'ת
13,12/11/2022,2064275,פלאפון,היתר הקמה,644042,עכו,סמוך לצומת עכו מזרח,תורן קרקעי,209257,758375,עכו
14,17/12/2022,2064345,סלקום,היתר הקמה,23120,מודיעין,מרלוג שופרסל אמיגה רח`` הצמיחה 14 מודיעין,אתר זעיר פנימי,197934,647584,מודיעין מכבים רעות
15,18/12/2022,2064359,פלאפון,היתר הקמה,132859,מודיעין עלית,הצמיחה  15,פריסה פנימית,197934,647584,מודיעין מכבים רעות
16,21/12/2022,2064421,סלקום,היתר הקמה,22944,שוהם,בסמוך לכביש 453 דרומית לשוהם,תורן קרקעי,194392,654475,שוהם
17,27/12/2022,2064536,סלקום,היתר הקמה,23103,ירושלים,דיפו נווה יעקב רכבת קלה שדרות הרב פרדס פינת שדרות נוה יעקב ירושלים.,אתר זעיר פנימי,222902,638717,ירושלים
18,1/1/2023,2064589,PHI (משרת את הוט ופרטנר),היתר הקמה,TE0043L,יהוד,כביש 461 בכניסה לבית העלמין,קרקעי,190087,659240,יהוד מונוסון
19,1/2/2023,2064644,סלקום,היתר הקמה,23080,משגב,ליד לולים בקיבוץ לוטם,תורן קרקעי,233201,753834,משגב
20,1/3/2023,2064469,PHI (משרת את הוט ופרטנר),היתר הקמה,WE5978A,לוד,עיריית לוד,גג,190440,651313,לוד
21,1/4/2023,2064656,PHI (משרת את הוט ופרטנר),היתר הקמה,SO5973A,אליפז,אליפז על חדר תקשורת,גג,200878,412080,אליפז
22,1/4/2023,2064655,PHI (משרת את הוט ופרטנר),היתר הקמה,SO5683B,גרופית,גרופית על חדר האוכל,גג,205930,428174,גרופית
23,1/4/2023,2064659,PHI (משרת את הוט ופרטנר),היתר הקמה,WE5340D,מודיעין,גשר 180,קרקעי,197744,645127,מודיעין מכבים רעות
